ticker,CAR_raw,t_raw,CAR_capm,t_capm,CAR_ff3,t_ff3,p_ff3,CAR_diff_pp,CAR_raw_pct,CAR_capm_pct,CAR_ff3_pct
ONB,-0.0963,-3.46,-0.0931,-3.338,-0.035,-1.439,0.1518,5.81,-9.63%,-9.31%,-3.5%
UBSI,-0.0452,-1.719,-0.0423,-1.595,0.0119,0.522,0.602,5.42,-4.52%,-4.23%,1.19%
GBCI,-0.063,-2.306,-0.0591,-2.173,-0.0125,-0.496,0.6208,4.66,-6.3%,-5.91%,-1.25%
INDB,-0.0978,-3.82,-0.0956,-3.721,-0.0473,-2.063,0.0404,4.83,-9.78%,-9.56%,-4.73%
WSFS,-0.153,-4.781,-0.1492,-4.679,-0.0888,-3.084,0.0023,6.04,-15.3%,-14.92%,-8.88%
BANR,-0.1147,-4.17,-0.1116,-4.053,-0.0529,-2.214,0.028,5.87,-11.47%,-11.16%,-5.29%
FFIN,-0.0861,-2.711,-0.0828,-2.618,-0.0567,-1.824,0.0697,2.61,-8.61%,-8.28%,-5.67%
TRMK,-0.0826,-2.482,-0.0801,-2.399,-0.0412,-1.285,0.2004,3.89,-8.26%,-8.01%,-4.12%
SFNC,-0.0784,-2.374,-0.0748,-2.264,-0.0123,-0.418,0.6766,6.25,-7.84%,-7.48%,-1.23%
HAFC,-0.1255,-4.234,-0.1217,-4.078,-0.0694,-2.581,0.0106,5.23,-12.55%,-12.17%,-6.94%
CVBF,-0.1752,-6.633,-0.1734,-6.54,-0.1263,-5.237,0,4.71,-17.52%,-17.34%,-12.63%
RNST,-0.0593,-2.029,-0.0563,-1.918,-0.0034,-0.127,0.8991,5.29,-5.93%,-5.63%,-0.34%
WAFD,-0.0584,-2.002,-0.0551,-1.884,-0.0064,-0.239,0.811,4.87,-5.84%,-5.51%,-0.64%
CATY,-0.1052,-4.342,-0.101,-4.175,-0.0462,-2.253,0.0254,5.48,-10.52%,-10.1%,-4.62%
EBC,-0.2073,-6.588,-0.2048,-6.512,-0.175,-5.72,0,2.98,-20.73%,-20.48%,-17.5%
GABC,-0.0962,-3.625,-0.0945,-3.535,-0.051,-2.065,0.0402,4.35,-9.62%,-9.45%,-5.1%
IBCP,-0.1463,-5.01,-0.1437,-4.872,-0.0936,-3.515,5e-4,5.01,-14.63%,-14.37%,-9.36%
