Date,Open,High,Low,Close,Adj Close,Volume
2022-05-10,224.44,227.79,210.00,218.01,218.01,1170000
2022-05-11,216.00,217.10,193.55,194.50,194.50,2410000
2022-05-12,189.95,190.32,179.05,189.18,189.18,4130000
2022-05-13,199.70,210.26,198.60,201.20,201.20,2069999
2022-05-16,200.96,200.96,186.32,186.93,186.93,1740000
2022-05-17,193.63,198.15,190.29,196.84,196.84,1260000
2022-05-18,194.99,197.42,188.62,189.89,189.89,1670000
2022-05-19,187.76,193.52,187.06,188.99,188.99,1440000
2022-05-20,193.76,194.10,184.81,190.89,190.89,992170
2022-05-23,194.71,200.69,190.89,197.74,197.74,1040000
2022-05-24,196.52,196.52,185.74,190.88,190.88,715770
2022-05-25,190.71,200.99,190.66,198.02,198.02,937630
2022-05-26,197.70,204.19,196.02,203.46,203.46,1190000
2022-05-27,203.86,211.77,203.86,211.49,211.49,868450
2022-05-31,210.77,218.81,207.90,216.27,216.27,1320000
2022-06-01,216.04,218.33,207.94,211.83,211.83,1230000
2022-06-02,210.40,220.66,210.20,220.09,220.09,673640
2022-06-03,215.67,219.56,215.24,218.04,218.04,740210
2022-06-06,220.97,226.59,219.68,223.35,223.35,826290
2022-06-07,219.26,226.11,217.82,225.92,225.92,862130
2022-06-08,221.94,225.41,220.48,223.53,223.53,823450
2022-06-09,222.64,222.64,214.28,214.92,214.92,1060000
2022-06-10,207.06,211.58,200.58,201.62,201.62,1580000
2022-06-13,189.27,190.04,170.76,174.05,174.05,2110000
2022-06-14,177.00,179.04,173.53,178.06,178.06,1240000
2022-06-15,179.74,186.90,178.19,180.91,180.91,966650
2022-06-16,174.89,174.89,165.36,167.55,167.55,1080000
2022-06-17,168.43,174.28,168.03,171.68,171.68,1680000
2022-06-21,177.35,181.76,175.17,175.55,175.55,1100000
2022-06-22,173.00,179.33,170.82,177.67,177.67,1020000
2022-06-23,178.32,184.68,177.00,183.13,183.13,1230000
2022-06-24,184.07,196.77,183.87,192.14,192.14,1150000
2022-06-27,193.06,194.97,186.84,189.26,189.26,631840
2022-06-28,191.31,195.46,186.59,187.55,187.55,680600
2022-06-29,187.28,187.48,182.27,184.00,184.00,546200
2022-06-30,177.55,182.56,170.82,179.21,179.21,964760
2022-07-01,178.85,184.87,178.10,184.12,184.12,522080
2022-07-05,178.35,189.58,176.65,189.44,189.44,524680
2022-07-06,187.26,191.66,183.19,185.88,185.88,505760
2022-07-07,188.75,193.92,188.75,193.30,193.30,492660
2022-07-08,192.51,195.22,188.65,193.46,193.46,493990
2022-07-11,190.16,191.53,187.11,188.20,188.20,441340
2022-07-12,187.95,193.26,185.51,188.89,188.89,509410
2022-07-13,183.99,189.60,180.64,188.85,188.85,634610
2022-07-14,183.11,184.62,178.20,183.34,183.34,910260
2022-07-15,187.75,192.52,183.51,191.57,191.57,733970
2022-07-18,196.94,203.19,194.50,196.12,196.12,1100000
2022-07-19,179.05,187.90,171.97,187.28,187.28,4520000
2022-07-20,186.22,189.70,183.61,187.63,187.63,1520000
2022-07-21,186.57,188.63,179.48,181.57,181.57,1270000
2022-07-22,181.57,183.91,172.69,175.89,175.89,1050000
2022-07-25,177.99,182.24,175.61,181.42,181.42,1190000
2022-07-26,178.88,180.17,174.68,174.99,174.99,850980
2022-07-27,176.54,181.72,175.74,180.51,180.51,1100000
2022-07-28,179.51,185.54,177.71,185.46,185.46,852000
2022-07-29,185.82,187.98,184.26,185.57,185.57,548320
2022-08-01,184.15,185.23,179.20,183.27,183.27,1010000
2022-08-02,183.28,186.94,181.03,185.04,185.04,487080
2022-08-03,185.79,189.73,185.79,188.61,188.61,449290
2022-08-04,187.67,188.00,184.74,186.35,186.35,445930
2022-08-05,184.52,191.21,184.28,187.28,187.28,402040
