Date,Open,High,Low,Close,Adj Close,Volume
2022-09-22,46.94,46.99,45.74,45.99,45.99,1570000
2022-09-23,45.38,45.6,44.43,45.1,45.1,1490000
2022-09-26,44.72,45.7,44.72,45.22,45.22,1290000
2022-09-27,45.6,45.99,44.08,44.67,44.67,843760
2022-09-28,44.82,46.36,44.72,46.0,46.0,878410
2022-09-29,45.28,45.51,44.59,45.18,45.18,875670
2022-09-30,45.35,46.13,45.06,45.2,45.2,869180
2022-10-03,45.89,46.66,44.95,46.42,46.42,776460
2022-10-04,47.22,48.8,47.16,48.75,48.75,774710
2022-10-05,47.99,48.51,47.8,48.31,48.31,832080
2022-10-06,48.04,48.67,47.67,47.88,47.88,740320
2022-10-07,47.51,47.51,46.15,46.67,46.67,893660
2022-10-10,46.94,47.06,45.96,46.48,46.48,720620
2022-10-11,46.14,46.82,45.4,46.02,46.02,1050000
2022-10-12,46.02,46.41,45.14,45.67,45.67,1230000
2022-10-13,45.0,48.17,44.32,47.94,47.94,1350000
2022-10-14,48.49,49.34,47.56,47.73,47.73,1030000
2022-10-17,48.81,49.12,48.1,48.8,48.8,960960
2022-10-18,49.92,50.05,48.83,49.55,49.55,818620
2022-10-19,49.23,49.96,48.12,48.55,48.55,1110000
2022-10-20,48.37,51.95,48.01,49.53,49.53,2610000
2022-10-21,50.1,51.0,49.23,50.87,50.87,1410000
2022-10-24,51.06,52.31,50.78,52.23,52.23,1340000
2022-10-25,51.62,52.94,51.17,52.87,52.87,898990
2022-10-26,52.86,53.56,52.56,52.79,52.79,901950
2022-10-27,53.36,53.99,52.97,53.07,53.07,1020000
2022-10-28,53.43,54.06,52.99,53.94,53.94,854410
2022-10-31,53.81,54.77,53.81,54.26,54.26,963740
2022-11-01,54.9,55.03,54.35,54.58,54.58,733070
2022-11-02,54.42,54.43,52.56,52.67,52.67,853300
2022-11-03,51.81,52.64,51.14,52.34,52.34,677680
2022-11-04,53.52,54.19,53.09,54.12,54.12,572950
2022-11-07,54.78,54.79,53.96,54.55,54.55,480340
2022-11-08,54.71,55.7,54.14,55.06,55.06,841020
2022-11-09,54.34,54.89,53.6,53.96,53.96,801300
2022-11-10,55.49,56.46,54.76,55.4,55.4,1130000
2022-11-11,55.79,56.1,53.24,53.35,53.35,1450000
2022-11-14,52.99,53.8,52.79,53.05,53.05,803730
2022-11-15,54.01,54.44,52.53,53.12,53.12,917070
2022-11-16,53.14,53.18,52.11,52.36,52.36,525290
2022-11-17,51.73,52.24,50.99,52.01,52.01,741190
2022-11-18,52.9,52.9,51.94,52.61,52.61,481110
2022-11-21,52.56,53.23,52.56,53.07,53.07,403670
2022-11-22,53.61,53.84,53.21,53.83,53.83,407450
2022-11-23,53.59,53.93,53.04,53.16,53.16,624210
2022-11-25,53.44,54.05,52.98,53.59,53.59,227670
2022-11-28,53.1,53.36,52.63,52.73,52.73,635460
2022-11-29,52.8,53.62,52.49,53.4,53.4,495660
2022-11-30,53.4,54.39,52.33,54.34,54.34,1190000
2022-12-01,54.45,54.86,53.46,53.72,53.72,689990
2022-12-02,53.26,54.13,53.26,53.84,53.84,497900
2022-12-05,53.66,53.66,49.55,49.82,49.82,1400000
2022-12-06,49.88,50.08,47.58,47.95,47.95,1730000
2022-12-07,47.94,48.19,46.79,48.03,48.03,1590000
2022-12-08,48.41,48.41,46.94,47.42,47.42,1100000
2022-12-09,47.51,47.73,46.91,47.21,47.21,898890
2022-12-12,47.21,47.7,46.61,47.46,47.46,949660
2022-12-13,48.25,48.44,45.43,45.84,45.84,2089999
2022-12-14,45.76,46.08,44.86,45.17,45.17,1450000
2022-12-15,44.6,44.8,43.78,44.4,44.4,1760000
2022-12-16,44.16,44.53,43.41,44.5,44.5,3680000
2022-12-19,44.62,45.55,44.62,45.36,45.36,1590000
2022-12-20,45.72,46.22,45.48,45.84,45.84,1100000
2022-12-21,46.38,47.06,45.95,46.18,46.18,1310000
2022-12-22,45.83,46.29,45.48,46.26,46.26,926150
2022-12-23,46.28,47.03,46.2,46.73,46.73,524930
2022-12-27,46.78,47.07,46.43,46.73,46.73,430390
2022-12-28,46.88,46.88,46.28,46.3,46.3,696910
2022-12-29,46.37,47.2,46.2,47.13,47.13,499620
2022-12-30,46.84,47.35,46.62,47.34,47.34,776410
2023-01-03,47.67,48.0,46.31,46.84,46.84,1070000
2023-01-04,47.37,47.72,46.58,46.83,46.83,1050000
2023-01-05,46.72,46.86,45.89,46.53,46.53,942000
2023-01-06,46.85,48.05,46.43,47.86,47.86,674480
2023-01-09,47.98,47.99,47.29,47.35,47.35,618130
2023-01-10,47.31,47.58,46.9,47.47,47.47,478360
2023-01-11,47.58,48.03,47.35,47.56,47.56,560780
2023-01-12,48.17,48.82,47.67,48.54,48.54,587880
2023-01-13,48.05,48.2,47.12,48.01,48.01,580520
2023-01-17,48.12,48.13,47.21,47.68,47.68,496820
2023-01-18,47.27,47.53,45.38,45.39,45.39,808730
2023-01-19,45.1,45.5,44.62,45.15,45.15,983480
2023-01-20,45.48,46.57,45.24,46.53,46.53,917610
2023-01-23,46.78,47.66,46.52,47.46,47.46,984500
2023-01-24,47.35,47.35,46.39,46.92,46.92,873220
2023-01-25,46.62,47.32,46.17,47.3,47.3,1920000
2023-01-26,48.03,52.26,47.92,51.19,51.19,2310000
2023-01-27,51.13,51.28,50.14,50.84,50.84,1270000
2023-01-30,50.51,51.08,50.14,50.25,50.25,1020000
2023-01-31,50.25,52.69,50.05,52.65,52.65,1250000
2023-02-01,52.32,54.16,52.22,53.79,53.79,1340000
2023-02-02,54.04,54.6,53.56,54.59,54.59,1290000
2023-02-03,53.96,55.55,53.96,55.09,55.09,1040000
2023-02-06,54.71,55.36,54.65,55.13,55.13,819500
2023-02-07,54.89,55.78,54.59,55.65,55.65,721800
2023-02-08,55.21,55.5,54.96,55.28,55.28,649180
2023-02-09,55.53,55.8,54.33,54.43,54.43,742060
2023-02-10,54.21,54.81,54.02,54.68,54.68,733370
2023-02-13,54.68,55.8,54.04,55.58,55.58,968790
2023-02-14,55.4,56.0,54.57,55.13,55.13,939960
2023-02-15,54.6,55.44,54.37,55.01,55.01,846580
2023-02-16,54.31,55.83,54.12,55.25,55.25,847770
2023-02-17,55.2,55.3,54.67,54.97,54.97,633770
2023-02-21,54.52,54.73,53.55,53.84,53.84,760010
2023-02-22,54.19,54.19,53.12,53.54,53.54,705480
2023-02-23,53.9,54.29,52.86,53.41,53.41,582180
2023-02-24,52.49,53.35,52.49,53.33,53.33,641690
2023-02-27,53.89,54.01,52.91,53.28,53.28,772180
2023-02-28,53.65,53.65,52.97,53.12,53.12,1390000
2023-03-01,52.48,52.77,51.5,52.14,52.14,1910000
2023-03-02,51.63,52.22,50.7,51.98,51.98,1560000
2023-03-03,52.47,52.47,51.39,52.06,52.06,954240
2023-03-06,51.84,52.76,51.38,51.6,51.6,853140
2023-03-07,51.34,51.34,50.02,50.04,50.04,986760
2023-03-08,50.03,50.2,49.19,49.3,49.3,778630
2023-03-09,48.69,48.69,45.22,45.25,45.25,1980000
2023-03-10,43.98,44.23,40.34,43.03,43.03,3940000
2023-03-13,38.51,40.45,36.94,37.55,37.55,6410000
2023-03-14,39.57,41.69,38.93,39.64,39.64,4120000
2023-03-15,37.87,38.45,36.87,38.14,38.14,3020000
2023-03-16,37.45,41.57,36.6,40.75,40.75,3550000
2023-03-17,39.7,40.05,37.76,38.24,38.24,6720000
2023-03-20,39.19,40.49,38.81,39.15,39.15,2520000
2023-03-21,41.29,42.18,40.65,41.92,41.92,2040000
2023-03-22,41.93,41.93,38.99,39.05,39.05,1390000
2023-03-23,39.55,39.94,37.51,37.64,37.64,1350000
2023-03-24,36.81,38.72,36.49,38.62,38.62,1840000
2023-03-27,40.33,40.78,38.62,38.91,38.91,1020000
2023-03-28,38.64,39.45,38.39,39.27,39.27,851520
2023-03-29,39.94,40.08,39.19,39.75,39.75,1010000
2023-03-30,40.41,40.42,38.95,39.01,39.01,1860000
2023-03-31,39.57,39.78,38.95,39.42,39.42,1050000
2023-04-03,39.5,39.79,38.32,38.58,38.58,1340000
2023-04-04,38.99,38.99,37.02,37.56,37.56,1260000
2023-04-05,36.5,37.07,36.03,36.86,36.86,1360000
2023-04-06,36.95,37.63,36.76,37.12,37.12,1030000
2023-04-10,36.78,37.79,36.49,37.34,37.34,1010000
2023-04-11,37.41,37.86,36.99,37.46,37.46,1320000
2023-04-12,37.81,38.04,36.73,37.03,37.03,1210000
2023-04-13,37.14,38.48,36.78,38.27,38.27,1580000
2023-04-14,39.1,39.24,36.8,37.26,37.26,1620000
2023-04-17,37.0,39.08,36.58,38.97,38.97,1510000
2023-04-18,38.9,39.11,37.67,38.11,38.11,1220000
2023-04-19,38.3,40.06,38.02,39.71,39.71,1630000
2023-04-20,38.07,41.0,38.07,38.62,38.62,2230000
2023-04-21,38.45,39.11,37.85,38.68,38.68,1420000
2023-04-24,38.5,38.91,37.92,38.11,38.11,1000000
2023-04-25,37.31,37.65,35.96,36.12,36.12,1250000
2023-04-26,36.3,37.55,36.23,36.77,36.77,1440000
2023-04-27,37.0,37.22,36.27,36.95,36.95,1420000
2023-04-28,36.61,37.83,36.61,37.3,37.3,1320000
2023-05-01,37.29,37.85,36.74,36.86,36.86,1440000
2023-05-02,36.58,36.58,34.08,34.48,34.48,1940000
2023-05-03,34.71,35.74,33.52,33.73,33.73,2009999
2023-05-04,32.64,33.38,31.03,32.24,32.24,2270000
2023-05-05,33.4,34.59,33.22,33.94,33.94,1850000
2023-05-08,34.74,34.74,32.91,33.15,33.15,1100000
2023-05-09,32.69,33.65,32.16,33.32,33.32,1340000
2023-05-10,34.07,34.19,32.04,32.61,32.61,842310
2023-05-11,31.89,32.78,31.62,32.66,32.66,1730000
2023-05-12,33.04,33.05,31.84,32.56,32.56,1350000
2023-05-15,32.66,33.66,32.66,33.35,33.35,2120000
2023-05-16,33.46,34.08,33.17,33.64,33.64,2110000
2023-05-17,34.39,36.88,34.35,36.63,36.63,2069999
2023-05-18,36.64,37.17,36.18,36.36,36.36,1100000
2023-05-19,36.7,36.7,35.25,35.94,35.94,1070000
2023-05-22,36.63,37.53,36.19,37.4,37.4,1090000
2023-05-23,37.36,38.33,36.81,36.85,36.85,1040000
